Artist 42/948 | Stage Name: Choi Bo-min (entertainer) | Full Name: Choi Bo-min | Gender: Male | Birth Year: 2000-08-24 | Age: 25 | Birth Place: Yongin, Gyeonggi Province, South Korea | Nationality: South Korean | Occupation(s): Singer, actor | Years Active: 2017–present | Group: Golden Child | Genre: K-pop, dance-pop, future bass, reggaeton, Pop rock | 
Artist 43/948 | Stage Name: Choi Byung-chan | Full Name: Choi Byung-chan | Gender: Male | Birth Year: 1997-11-12 | Age: 28 | Birth Place: Jeonju, North Jeolla, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2016–present | Group: Victon | Genre: K-pop, dance-pop, hip hop | 
Artist 44/948 | Stage Name: Choi Hyun-suk | Full Name: Choi Hyun-suk | Gender: Male | Birth Year: 1999-04-21 | Age: 26 | Birth Place: Daegu, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, dancer | Years Active: 2020–present | Group: Treasure | Genre: K-pop, dance, hip hop, ballad | 
Artist 45/948 | Stage Name: Choi Jong-hoon | Full Name: Choi Jong-hoon | Gender: Male | Birth Year: 1990-03-07 | Age: 35 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Musician, actor | Years Active: 2007–2019 [ 1 ] | Group: None | Genre: K-pop | 
Artist 46/948 | Stage Name: Choi Jung-won (singer) | Full Name: Choi Jung-won | Gender: Male | Birth Year: 1981-05-01 | Age: 44 | Birth Place: Seoul | Nationality: South Korean | Occupation(s): Not found | Years Active: 1999–present | Group: UN | Genre: R&B, pop, k-pop | 
Artist 47/948 | Stage Name: Choi Min-ho | Full Name: Choi Min-ho | Gender: Male | Birth Year: 1991-12-09 | Age: 34 | Birth Place: Incheon, South Korea | Nationality: Korean | Occupation(s): Singer, rapper, songwriter, actor | Years Active: 2008–present | Group: Shinee | Genre: K-pop, J-pop, R&B, EDM, hip hop | 
Artist 48/948 | Stage Name: Choi Min-hwan | Full Name: Choi Min-hwan | Gender: Male | Birth Year: 1992-11-11 | Age: 33 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, musician, drummer, actor | Years Active: 2007–present | Group: F.T. Island | Genre: K-rock, pop rock | 
Artist 49/948 | Stage Name: Choi Si-won | Full Name: Choi Si-won | Gender: Male | Birth Year: 1986-04-07 | Age: 39 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, actor, model, ambassador | Years Active: 2005–present | Group: Super Junior | Genre: K-pop, dance-pop, electropop, R&B, hip hop | 
Artist 50/948 | Stage Name: Choi Sung-min | Full Name: Choi Sung-min | Gender: Male | Birth Year: 1995-12-07 | Age: 30 | Birth Place: Yanggu, Gangwon Province, South Korea | Nationality: Korean | Occupation(s): Actor, singer | Years Active: 2010–present | Group: None | Genre: K-pop, Dance-pop, Hip hop | 
Artist 51/948 | Stage Name: Choi Young-jae | Full Name: Choi Young-jae | Gender: Male | Birth Year: 1996-09-17 | Age: 29 | Birth Place: Mokpo, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, actor, DJ | Years Active: 2014–present | Group: Got7 | Genre: K-pop, hip hop, trap, R&B | 
