Artist 14/50 | Stage Name: Gain (singer) | Full Name: Son Ga-in | Gender: Female | Birth Year: 1987-09-20 | Age: 38 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actress, entertainer | Years Active: 2006–2021 2025–present | Current Group: None | Genre: K-pop, R&B | 
Artist 15/50 | Stage Name: Mikey (singer) | Full Name: Cho Myung-ik | Gender: Unknown | Birth Year: 1980-01-30 | Age: 46 | Birth Place: South Korea | Nationality: Korean | Occupation(s):  | Years Active: Not found | Current Group: None | Genre: K-pop, dance, hip hop | 
Artist 16/50 | Stage Name: Lee Hyori | Full Name: Lee Hyo-ri | Gender: Female | Birth Year: 1979-02-19 | Age: 47 | Birth Place: Cheongwon, South Korea | Nationality: Korean | Occupation(s): Singer, television personality, actress | Years Active: 1998–present | Current Group: None | Genre: K-pop, synth-pop | 
Artist 17/50 | Stage Name: Nam Woo-hyun | Full Name: Nam Woo-hyun | Gender: Male | Birth Year: 1991-02-08 | Age: 35 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, actor | Years Active: 2010–present | Current Group: Infinite | Genre: K-pop, Synth-pop, Pop rock, R&B, electronic | 
Artist 18/50 | Stage Name: L (entertainer) | Full Name: Kim Myung-soo | Gender: Male | Birth Year: 1992-03-13 | Age: 33 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2010–present | Current Group: Infinite | Genre: K-pop, Synth-pop, Pop rock, R&B, electronic | 
Artist 19/50 | Stage Name: Sunye | Full Name: Min Sun-ye | Gender: Female | Birth Year: 1989-08-12 | Age: 36 | Birth Place: Seoul, South Korea | Nationality: South Korean | Occupation(s):  | Years Active: 2007–2013 2018–present | Current Group: None | Genre: K-pop, retro, pop rock, dance-pop | 
Artist 20/50 | Stage Name: Jessica Jung | Full Name: Jessica Jung | Gender: Female | Birth Year: 1989-04-18 | Age: 36 | Birth Place: San Francisco, California, U.S. | Nationality: American | Occupation(s): Singer, songwriter, actress, author, businesswoman | Years Active: 2007–present | Current Group: None | Genre: K-pop | 
Artist 21/50 | Stage Name: DK (singer) | Full Name: Lee Seok-min | Gender: Male | Birth Year: 1997-02-18 | Age: 29 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2015–present | Current Group: Seventeen | Genre: K-pop | 
Artist 22/50 | Stage Name: Lee Seung-hoon (rapper) | Full Name: Lee Seung-hoon | Gender: Male | Birth Year: 1992-01-11 | Age: 34 | Birth Place: Dongnae District, Busan, South Korea | Nationality: Korean | Occupation(s): Rapper, dancer | Years Active: 2014–present | Current Group: Winner | Genre: K-pop, R&B, Hip-hop | 
Artist 23/50 | Stage Name: Baek A-yeon | Full Name: Baek A-yeon | Gender: Female | Birth Year: 1993-03-11 | Age: 32 | Birth Place: Seongnam, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter | Years Active: 2012–present | Current Group: None | Genre: K-pop | 
Artist 24/50 | Stage Name: Kim Jung-woo (singer) | Full Name: Kim Jung-woo | Gender: Male | Birth Year: 1990-05-09 | Age: 35 | Birth Place: Daegu, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2010–present | Current Group: None | Genre: K-pop | 
Artist 25/50 | Stage Name: Lee Jung-shin | Full Name: Lee Jung-shin | Gender: Male | Birth Year: 1991-09-15 | Age: 34 | Birth Place: Ilsan, South Korea | Nationality: Korean | Occupation(s): Bassist, singer, rapper, actor, presenter | Years Active: 2009–present | Current Group: CNBLUE | Genre: Rock, pop, electronic | 
Artist 26/50 | Stage Name: Jang Beom-june | Full Name: Jang Beom-june | Gender: Male | Birth Year: 1989-05-16 | Age: 36 | Birth Place: Unknown | Nationality: Korean | Occupation(s):  | Years Active: 2011–present | Current Group: None | Genre: K-pop | 
Artist 27/50 | Stage Name: Bora (singer) | Full Name: Kim Bo-ra | Gender: Female | Birth Year: 1999-03-03 | Age: 26 | Birth Place: Gwangju, South Korea | Nationality: Korean | Occupation(s): Singer, actress | Years Active: 2019–present | Current Group: None | Genre: K-pop | 
Artist 28/50 | Stage Name: Jurina Matsui | Full Name: Jurina Matsui | Gender: Female | Birth Year: 1997-03-08 | Age: 28 | Birth Place: Kasugai, Aichi, Japan | Nationality: Japanese | Occupation(s): TV personality, singer, actress | Years Active: 2008–present | Current Group: None | Genre: J-pop | 
Artist 29/50 | Stage Name: Jinho | Full Name: Jo Jin-ho | Gender: Male | Birth Year: 1992-04-17 | Age: 33 | Birth Place: Bucheon, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, composer, vocal coach | Years Active: 2010–present | Current Group: Pentagon | Genre: K-pop, electronic, dance-pop | 
Artist 30/50 | Stage Name: Jung Eun-ji | Full Name: Jung Hye-rim | Gender: Female | Birth Year: 1993-08-18 | Age: 32 | Birth Place: Busan, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, actress | Years Active: 2011–present | Current Group: Apink | Genre: K-pop, bubblegum pop, synthpop | 
Artist 31/50 | Stage Name: Jinyoung (entertainer, born 1994) | Full Name: Park Jin-young | Gender: Male | Birth Year: 1994-09-22 | Age: 31 | Birth Place: Changwon, South Korea | Nationality: Korean | Occupation(s): Singer, actor, songwriter | Years Active: 2012–present | Current Group: Got7 | Genre: K-pop, hip hop, trap, R&B | 
Artist 32/50 | Stage Name: Oh Yeon-seo | Full Name: Oh Haet-nim | Gender: Female | Birth Year: 1987-06-22 | Age: 38 | Birth Place: Jinju, South Korea | Nationality: Korean | Occupation(s): Actress, singer | Years Active: 2002–present | Current Group: None | Genre: K-pop | 
Artist 33/50 | Stage Name: Kim E-Z | Full Name: Kim Hee-jung | Gender: Unknown | Birth Year: 1979-01-31 | Age: 47 | Birth Place: Unknown | Nationality: Korean | Occupation(s): Singer, rapper, actress, television host | Years Active: 1997-present | Current Group: None | Genre: K-pop, dance-pop, R&B | 
Artist 34/50 | Stage Name: Dayoung | Full Name: Im Da-young | Gender: Female | Birth Year: 1999 | Age: 27 | Birth Place: Jeju Province, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2016–present | Current Group: None | Genre: K-pop | 
Artist 35/50 | Stage Name: Na Hae-ryung | Full Name: Na Hae-ryung | Gender: Female | Birth Year: 1994-11-11 | Age: 31 | Birth Place: Bucheon, South Korea | Nationality: Korean | Occupation(s): Actress, singer | Years Active: 2003–present | Current Group: None | Genre: K-pop | 
Artist 36/50 | Stage Name: Stephanie Kim | Full Name: Bo-kyung Kim | Gender: Female | Birth Year: 1987-10-16 | Age: 38 | Birth Place: San Diego, California, U.S.[citation needed] | Nationality: American | Occupation(s): Singer, ballerina, musical actress | Years Active: 2005–present | Current Group: None | Genre: K-pop, R&B, A cappella | 
Artist 37/50 | Stage Name: Kim Jong-kook | Full Name: Kim Jong-kook | Gender: Male | Birth Year: 1976-04-25 | Age: 49 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, entertainer, actor | Years Active: 1995–present | Current Group: None | Genre: K-pop, dance, hip hop | 
Artist 38/50 | Stage Name: Jeong Jin-hwan | Full Name: Jeong Jin-hwan | Gender: Male | Birth Year: 1993-04-28 | Age: 32 | Birth Place: South Korea | Nationality: Korean | Occupation(s): Singer, rapper, actor | Years Active: 2018–present | Current Group: None | Genre: K-pop | 
